iter	Passed	Remaining
0	149	149035
1	152	76219
2	154	51307
3	156	38897
4	157	31431
5	159	26419
6	160	22813
7	162	20138
8	164	18123
9	166	16518
10	168	15140
11	169	13988
12	171	13006
13	172	12165
14	174	11436
15	175	10820
16	181	10520
17	183	10027
18	185	9562
19	186	9144
20	188	8779
21	192	8551
22	196	8364
23	198	8081
24	200	7823
25	202	7577
26	204	7351
27	205	7134
28	207	6933
29	208	6753
30	211	6605
31	213	6453
32	214	6293
33	216	6141
34	217	6001
35	219	5874
36	220	5749
37	222	5628
38	223	5516
39	226	5433
40	227	5328
41	229	5229
42	230	5134
43	232	5041
44	233	4956
45	235	4878
46	236	4802
47	239	4756
48	241	4688
49	243	4627
50	245	4562
51	246	4499
52	248	4439
53	249	4379
54	252	4341
55	255	4300
56	257	4253
57	258	4201
58	260	4156
59	263	4123
60	264	4076
61	266	4031
62	267	3985
63	270	3959
64	273	3929
65	274	3887
66	276	3844
67	277	3808
68	279	3776
69	281	3739
70	283	3710
71	285	3677
72	286	3641
73	288	3608
74	290	3577
75	291	3548
76	293	3518
77	294	3486
78	296	3455
79	298	3428
80	300	3406
81	301	3379
82	302	3344
83	304	3316
84	306	3299
85	308	3273
86	309	3250
87	311	3227
88	314	3219
89	316	3201
90	318	3178
91	319	3156
92	321	3133
93	322	3109
94	324	3089
95	325	3066
96	327	3048
97	329	3033
98	331	3012
99	332	2992
100	334	2976
101	335	2957
102	337	2938
103	338	2920
104	340	2901
105	342	2886
106	344	2874
107	345	2857
108	347	2839
109	348	2822
110	350	2806
111	352	2791
112	353	2775
113	355	2759
114	356	2745
115	358	2735
116	360	2722
117	362	2708
118	363	2693
119	365	2678
120	366	2664
121	367	2647
122	370	2638
123	371	2625
124	373	2612
125	376	2609
126	377	2595
127	379	2584
128	381	2573
129	382	2560
130	383	2546
131	385	2535
132	388	2529
133	389	2520
134	391	2509
135	393	2497
136	394	2487
137	404	2524
138	407	2523
139	409	2514
140	410	2503
141	411	2488
142	413	2479
143	415	2468
144	417	2461
145	419	2450
146	420	2442
147	423	2435
148	424	2427
149	426	2418
150	428	2410
151	430	2401
152	432	2393
153	433	2383
154	436	2377
155	438	2371
156	439	2362
157	441	2352
158	443	2344
159	444	2335
160	445	2322
161	448	2320
162	452	2323
163	454	2315
164	455	2307
165	457	2298
166	458	2288
167	460	2281
168	462	2274
169	464	2265
170	465	2257
171	467	2251
